file_name,overall_nodes_rate,overall_edges_rate,loop_nodes_rate,loop_edges_rate,branch_nodes_rate,branch_edges_rate,overall_nodes_golden
CPP_97.dot,NA,NA,NA,NA,NA,NA,0
CPP_21.dot,1.1176470588235294,0.8214285714285714,NA,NA,0.3333333333333333,0.3333333333333333,17
CPP_62.dot,0.2857142857142857,0.25,NA,NA,0.2,0.2,21
CPP_114.dot,2.2857142857142856,1.5,NA,NA,0.0,0.0,7
CPP_36.dot,1.2,1.125,1.0,1.0,1.0,1.0,5
CPP_72.dot,1.3333333333333333,1.25,1.0,1.0,1.0,1.0,6
CPP_48.dot,0.5416666666666666,0.3,NA,NA,0.0,0.0,24
CPP_155.dot,0.0,0.0,NA,NA,0.0,0.0,14
CPP_16.dot,0.8064516129032258,0.5,NA,NA,0.0,0.0,31
CPP_30.dot,0.0,0.0,0.0,0.0,0.0,0.0,22
CPP_55.dot,3.0,1.7692307692307692,NA,NA,0.0,0.0,8
CPP_64.dot,0.0,0.0,0.0,0.0,0.0,0.0,16
CPP_141.dot,0.0,0.0,NA,NA,0.0,0.0,27
CPP_56.dot,1.6666666666666667,1.625,0.0,0.0,1.0,1.1666666666666667,6
CPP_98.dot,3.7777777777777777,2.357142857142857,0.0,0.0,0.0,0.0,9
CPP_71.dot,1.0,1.0,NA,NA,1.0,1.0,3
CPP_74.dot,0.0,0.0,NA,NA,0.0,0.0,13
CPP_116.dot,0.6571428571428571,0.5882352941176471,2.1666666666666665,2.0,0.47368421052631576,0.47368421052631576,35
CPP_78.dot,0.0,0.0,0.0,0.0,0.0,0.0,10
CPP_28.dot,0.8275862068965517,0.5853658536585366,NA,NA,0.07692307692307693,0.07407407407407407,29
CPP_89.dot,0.0,0.0,NA,NA,0.0,0.0,29
CPP_131.dot,0.0,0.0,NA,NA,0.0,0.0,9
CPP_6.dot,0.0,0.0,NA,NA,0.0,0.0,35
CPP_163.dot,2.272727272727273,1.793103448275862,3.1538461538461537,2.388888888888889,0.3,0.3,22
CPP_159.dot,1.25,1.0,NA,NA,0.0,0.0,4
CPP_138.dot,NA,NA,NA,NA,NA,NA,0
CPP_3.dot,1.6666666666666667,1.2222222222222223,NA,NA,0.5,0.5,6
CPP_80.dot,0.7142857142857143,0.45454545454545453,NA,NA,0.2,0.2,7
CPP_24.dot,1.25,1.1666666666666667,1.0,1.0,1.0,1.0,4
CPP_11.dot,0.6428571428571429,0.6190476190476191,NA,NA,0.5555555555555556,0.5555555555555556,14
CPP_12.dot,0.7,0.6153846153846154,NA,NA,0.4,0.4,10
CPP_4.dot,0.0,0.0,NA,NA,0.0,0.0,14
CPP_109.dot,1.1,1.0,NA,NA,0.8333333333333334,0.8333333333333334,10
CPP_151.dot,1.2857142857142858,1.0,1.0,0.8333333333333334,0.5,0.5,7
CPP_39.dot,1.1666666666666667,1.125,0.0,0.0,1.0,1.0,6
CPP_135.dot,5.428571428571429,3.3636363636363638,NA,NA,0.0,0.0,7
CPP_43.dot,1.125,0.9166666666666666,0.0,0.0,0.6,0.6,8
CPP_31.dot,1.4,1.2857142857142858,NA,NA,1.0,1.0,5
CPP_2.dot,NA,NA,NA,NA,NA,NA,0
CPP_102.dot,1.5,1.4,NA,NA,1.0,1.0,4
CPP_157.dot,2.0,1.7142857142857142,NA,NA,1.0,1.0,5
CPP_133.dot,2.5,1.8181818181818181,NA,NA,0.25,0.25,8
CPP_82.dot,3.0,2.5714285714285716,NA,NA,1.3333333333333333,1.3333333333333333,5
CPP_23.dot,NA,NA,NA,NA,NA,NA,0
CPP_134.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_128.dot,2.625,1.8181818181818181,NA,NA,0.0,0.0,8
CPP_61.dot,2.0,1.625,0.0,0.0,0.6666666666666666,0.6666666666666666,6
CPP_95.dot,0.0,0.0,NA,NA,0.0,0.0,18
CPP_150.dot,1.6666666666666667,1.75,NA,NA,1.5,1.5,3
CPP_9.dot,0.8095238095238095,0.75,NA,NA,0.5,0.55,21
CPP_25.dot,0.9459459459459459,0.7058823529411765,NA,NA,0.1111111111111111,0.1111111111111111,37
CPP_76.dot,1.6666666666666667,1.5,NA,NA,1.0,1.0,3
CPP_83.dot,2.230769230769231,1.5454545454545454,NA,NA,0.6,0.6,13
CPP_46.dot,2.25,1.5,NA,NA,0.2,0.2,8
CPP_108.dot,1.125,1.0,1.0,1.0,0.8,0.8,8
CPP_41.dot,NA,NA,NA,NA,NA,NA,0
CPP_146.dot,3.0,2.0,0.0,0.0,0.0,0.0,9
CPP_42.dot,1.1818181818181819,1.0588235294117647,NA,NA,0.8571428571428571,0.8571428571428571,11
CPP_92.dot,1.3333333333333333,1.3333333333333333,NA,NA,1.0,1.0,3
CPP_18.dot,0.9375,0.8695652173913043,NA,NA,0.625,0.6470588235294118,16
CPP_63.dot,2.0,1.6666666666666667,NA,NA,1.0,1.0,8
CPP_115.dot,0.875,0.5,0.0,0.0,0.0,0.0,16
CPP_66.dot,1.2727272727272727,1.0,NA,NA,0.42857142857142855,0.42857142857142855,11
CPP_96.dot,0.0,0.0,0.0,0.0,0.0,0.0,28
CPP_99.dot,NA,NA,NA,NA,NA,NA,0
CPP_45.dot,NA,NA,NA,NA,NA,NA,0
CPP_124.dot,0.0,0.0,NA,NA,0.0,0.0,30
CPP_121.dot,0.625,0.4166666666666667,NA,NA,0.2,0.2,8
CPP_0.dot,1.25,1.1666666666666667,1.0,1.0,1.0,1.0,8
CPP_60.dot,NA,NA,NA,NA,NA,NA,0
CPP_8.dot,1.1818181818181819,1.1176470588235294,NA,NA,1.0,1.0,11
CPP_68.dot,0.0,0.0,0.0,0.0,0.0,0.0,21
CPP_75.dot,1.6,1.375,1.0,1.0,1.0,1.0,5
CPP_52.dot,1.1666666666666667,1.0,NA,NA,0.75,0.75,6
CPP_35.dot,1.2857142857142858,1.0909090909090908,NA,NA,0.8,0.8,7
CPP_100.dot,1.0588235294117647,0.9545454545454546,NA,NA,0.625,0.625,17
CPP_77.dot,1.3333333333333333,1.3333333333333333,NA,NA,1.0,1.0,3
CPP_106.dot,1.4,1.3061224489795917,NA,NA,0.6666666666666666,0.7777777777777778,35
CPP_40.dot,1.1,0.875,1.0,0.8181818181818182,0.5714285714285714,0.5714285714285714,10
CPP_136.dot,1.125,0.9090909090909091,1.0,0.8571428571428571,0.5,0.5,8
CPP_85.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_139.dot,1.0,1.0,NA,NA,0.8,0.8,7
CPP_57.dot,6.142857142857143,3.8181818181818183,NA,NA,0.0,0.0,7
CPP_59.dot,1.8,1.5,0.0,0.0,1.0,1.0,5
CPP_132.dot,1.6666666666666667,1.5,1.0,1.0,1.0,1.0,6
CPP_27.dot,0.0,0.0,NA,NA,0.0,0.0,31
CPP_91.dot,0.9090909090909091,0.5625,NA,NA,0.0,0.0,11
CPP_73.dot,1.6666666666666667,1.5,NA,NA,1.0,1.0,3
CPP_152.dot,0.0,0.0,NA,NA,0.0,0.0,21
CPP_142.dot,1.75,1.1818181818181819,0.0,0.0,0.0,0.0,8
CPP_49.dot,1.2857142857142858,1.1818181818181819,NA,NA,1.0,1.0,7
CPP_130.dot,0.926829268292683,0.8214285714285714,0.0,0.0,0.42105263157894735,0.47368421052631576,41
CPP_122.dot,0.8181818181818182,0.6470588235294118,NA,NA,0.42857142857142855,0.42857142857142855,11
CPP_5.dot,0.0,0.0,NA,NA,0.0,0.0,36
CPP_13.dot,1.3333333333333333,1.3333333333333333,NA,NA,1.0,1.0,3
CPP_53.dot,NA,NA,NA,NA,NA,NA,0
CPP_126.dot,4.571428571428571,3.090909090909091,NA,NA,0.6,0.6,7
CPP_127.dot,0.0,0.0,NA,NA,0.0,0.0,8
